FF times,LED times
"(6.640177720981987, 0.0)","(6.640177720981987, 1.0)"
"(6.656861584602545, 0.0)","(6.656861584602545, 1.0)"
"(6.673545448223103, 0.0)","(6.673545448223103, 1.0)"
"(6.6902293118436615, 0.0)","(6.6902293118436615, 1.0)"
"(6.706913175464219, 0.0)","(6.706913175464219, 1.0)"
"(6.723597039084777, 0.0)","(6.723597039084777, 1.0)"
"(6.740280902705335, 0.0)","(6.740280902705335, 1.0)"
"(6.7569647663258925, 0.0)","(6.7569647663258925, 1.0)"
"(6.77364862994645, 0.0)","(6.77364862994645, 1.0)"
"(6.790332493567008, 0.0)","(6.790332493567008, 1.0)"
"(6.807016357187566, 0.0)","(6.807016357187566, 1.0)"
"(6.823700220808123, 0.0)","(6.823700220808123, 1.0)"
"(6.840384084428681, 0.0)","(6.840384084428681, 1.0)"
"(6.857067948049239, 0.0)","(6.857067948049239, 1.0)"
"(6.873751811669797, 0.0)","(6.873751811669797, 1.0)"
"(6.890435675290354, 0.0)","(6.890435675290354, 1.0)"
"(6.907119538910912, 1.0)","(6.907119538910912, 1.0)"
"(6.92380340253147, 1.0)","(6.92380340253147, 1.0)"
"(6.940487266152028, 0.0)","(6.940487266152028, 1.0)"
"(6.957171129772585, 0.0)","(6.957171129772585, 1.0)"
"(6.973854993393143, 0.0)","(6.973854993393143, 1.0)"
"(6.990538857013701, 0.0)","(6.990538857013701, 1.0)"
"(7.0072227206342586, 0.0)","(7.0072227206342586, 1.0)"
"(7.023906584254816, 0.0)","(7.023906584254816, 1.0)"
"(7.040590447875374, 0.0)","(7.040590447875374, 1.0)"
"(7.057274311495932, 0.0)","(7.057274311495932, 1.0)"
"(7.0739581751164895, 0.0)","(7.0739581751164895, 1.0)"
"(7.090642038737047, 0.0)","(7.090642038737047, 1.0)"
